date,sentiment
2020-07-24,positive
2020-07-23,negative
2020-07-23,negative
2020-07-22,negative
2020-07-20,neutral
2020-07-17,positive
2020-07-16,neutral
2020-07-06,negative
2020-07-03,neutral
2020-06-30,positive
2020-06-22,neutral
2020-06-19,neutral
2020-06-18,neutral
2020-06-17,neutral
2020-06-15,positive
2020-06-15,neutral
2020-06-11,negative
2020-06-10,neutral
2020-06-03,negative
2020-05-31,negative
2020-05-20,neutral
2020-05-15,negative
2020-05-15,neutral
2020-05-12,neutral
2020-05-11,neutral
2020-05-11,positive
2020-05-08,negative
2020-05-07,neutral
2020-05-04,positive
2020-05-04,neutral
2020-04-30,neutral
2020-04-23,positive
2020-04-23,neutral
2020-04-22,neutral
2020-04-22,negative
2020-04-10,positive
2020-04-09,positive
2020-04-06,positive
2020-04-02,neutral
2020-04-01,positive
2020-03-26,positive
2020-03-24,negative
2020-03-24,positive
2020-03-19,negative
2020-03-18,neutral
2020-03-18,negative
2020-03-12,neutral
2020-03-10,negative
2020-03-05,positive
2020-03-02,positive
2020-02-26,negative
2020-02-24,positive
2020-02-18,negative
2020-02-11,negative
2020-01-27,negative
2020-01-24,positive
2020-01-23,positive
2020-01-23,positive
2020-01-23,neutral
2020-01-23,neutral
2020-01-22,negative
2020-01-21,neutral
2020-01-21,negative
2020-01-17,positive
2020-01-17,neutral
2020-01-10,positive
2019-12-31,neutral
2019-12-16,neutral
2019-12-11,neutral
2019-12-09,neutral
2019-12-04,negative
2019-12-03,negative
2019-11-28,positive
2019-11-26,positive
2019-11-21,negative
2019-11-18,neutral
